,scripture_references
985,Mark 16:15–16; Luke 24:46–47; D&C 4:5; D&C 112:11; Mosiah 28:3–4; Alma 29:1–2; Alma 29:4; D&C 6:8; D&C 123:12; Mosiah 18:9; John 10:27; D&C 38:41; Luke 10:25–37; Alma 31:35; Alma 6:6; D&C 121:37
986,Alma 34:32; Moses 6:62; John 3:16; D&C 14:7; D&C 121:46; John 14:26; D&C 68:28; John 14:27
987,Moses 3:18; D&C 52:14; Moses 5:1; Moses 5:27; Moses 5:12; Moses 5:4; Moses 5:12; D&C 109:22; D&C 131:1; D&C 132:19; Moses 4:12; Moses 3:18; D&C 52:14; Moses 5:1; Moses 5:27; Moses 5:12; Moses 5:4; Moses 5:12; D&C 109:22; D&C 131:1; D&C 132:19; Moses 4:12
988,Mosiah 3:19; Alma 34:27; James 1:5; H 1:11; H 1:12; Mosiah 5:13; Mosiah 3:19; Alma 34:27; James 1:5; H 1:11; H 1:12; Mosiah 5:13
989,Mosiah 4:6–7; Jacob 4:12; D&C 19:18; Luke 22:44; John 19:19; D&C 133:50; John 19:34; John 15:26; Alma 42:22–25; Alma 34:15–16; Alma 42:22–24; John 11:25; Acts 24:15; John 5:28–29; Alma 7:11–12; Alma 7:12; Alma 7:11; Alma 26:15; Moses 7:63; Mosiah 4:6–7; Jacob 4:12; D&C 19:18; Luke 22:44; John 19:19; D&C 133:50; John 19:34; John 15:26; Alma 42:22–25; Alma 34:15–16; Alma 42:22–24; John 11:25; Acts 24:15; John 5:28–29; Alma 7:11–12; Alma 7:12; Alma 7:11; Alma 26:15; Moses 7:63
990,D&C 14:7; Mosiah 4:27; James 1:5; Jacob 7:26; D&C 14:7; Mosiah 4:27; James 1:5; Jacob 7:26
991,Mark 9:14–29; D&C 10:5; F 1:4; Alma 32:21; Ether 12:6; Luke 1:31–32; John 21:2–4; H 1:47–50; D&C 123:17; Mark 9:29; D&C 27:17; Alma 37:33; Mark 9:14–29; D&C 10:5; F 1:4; Alma 32:21; Ether 12:6; Luke 1:31–32; John 21:2–4; H 1:47–50; D&C 123:17; Mark 9:29; D&C 27:17; Alma 37:33
992,Moses 1:39; Moses 7:67; D&C 76:69; Alma 13:3–13; Alma 42:8; D&C 98:14; Alma 42:15; Moses 4:2; Mosiah 3:19; Mosiah 5:15; D&C 1:30; Moses 4:3–4; D&C 93:39; John 3:5; Mosiah 5:1–2; D&C 76:50; Alma 4:19; Alma 31:5; D&C 1:14; D&C 21:1; John 16:13; Moses 1:39; Moses 7:67; D&C 76:69; Alma 13:3–13; Alma 42:8; D&C 98:14; Alma 42:15; Moses 4:2; Mosiah 3:19; Mosiah 5:15; D&C 1:30; Moses 4:3–4; D&C 93:39; John 3:5; Mosiah 5:1–2; D&C 76:50; Alma 4:19; Alma 31:5; D&C 1:14; D&C 21:1; John 16:13
993,Enos 1:3–4; Enos 1:16; John 7:17
994,Luke 10:25–37; F 1:11; John 13:34–35
995,D&C 10:33; D&C 52:14; D&C 86:3; D&C 42:38; D&C 68:25; D&C 38:30; Luke 18:22; John 17:4; H 1:50; Alma 37:35; Alma 7:22
996,D&C 88:119; Alma 7:22; Alma 7:11; D&C 18:11; Luke 2:48–49; D&C 64:29; Luke 2:50; Luke 2:51–52; D&C 88:119; Alma 7:22; Alma 7:11; D&C 18:11; Luke 2:48–49; D&C 64:29; Luke 2:50; Luke 2:51–52
997,Alma 37:37
998,D&C 76:79; D&C 84:41; Alma 13:3
999,D&C 52:8; D&C 52:8
1000,D&C 107:99; about 7:00; by 1:00; D&C 84:88; D&C 18:10; D&C 107:86; D&C 107:99; D&C 84:88; D&C 18:10
1001,D&C 121:36; Acts 3:2–8; Alma 37:47
1002,John 11:25–26; John 14:27; Luke 23:46; D&C 76:22; Mosiah 2:17; John 11:25–26; John 14:27; Luke 23:46; D&C 76:22; Mosiah 2:17
1003,Ezra 2:63; Alma 12:24; Alma 34:32; Alma 42:4; Mosiah 16:8; Alma 34:34; Alma 40:11–14; Alma 40:23; Alma 41:2; Mosiah 4:1–3; Alma 4:14; Alma 34:15–16; Alma 41:14; Alma 42:15–16; Enos 1:9; Alma 13:28; Alma 34:17–27; Alma 37:36–37; Mosiah 18:18; Alma 6:1; Mosiah 5:5; Mosiah 18:13; Alma 13:8; Omni 1:25; Enos 1:10; Alma 32:23; Mosiah 3:5–12; Alma 7:7–13; John 6:35; Amos 8:11; Ezra 2:63; Alma 12:24; Alma 34:32; Alma 42:4; Mosiah 16:8; Alma 34:34; Alma 40:11–14; Alma 40:23; Alma 41:2; Mosiah 4:1–3; Alma 4:14; Alma 34:15–16; Alma 41:14; Alma 42:15–16; Enos 1:9; Alma 13:28; Alma 34:17–27; Alma 37:36–37; Mosiah 18:18; Alma 6:1; Mosiah 5:5; Mosiah 18:13; Alma 13:8; Omni 1:25; Enos 1:10; Alma 32:23; Mosiah 3:5–12; Alma 7:7–13; John 6:35; Amos 8:11
1004,D&C 19:38; Luke 10:37; Luke 10:30–37
1005,Moses 7:28–37
1006,D&C 2:1; D&C 138:47; D&C 93:44; D&C 121:41; D&C 121:42; Job 27:6; D&C 68:25; D&C 93:40; D&C 93:47; D&C 19:31; D&C 68:25; D&C 138:33; F 1:4; Moses 6:58–62; Mosiah 4:14; Mosiah 1:3; Mosiah 5:8; D&C 98:8; Mosiah 4:21–26; Mosiah 18:27; Alma 1:27; D&C 23:3; Moses 1:39; D&C 132:19; D&C 2:1; D&C 138:47; D&C 93:44; D&C 121:41; D&C 121:42; Job 27:6; D&C 68:25; D&C 93:40; D&C 93:47; D&C 19:31; D&C 68:25; D&C 138:33; F 1:4; Moses 6:58–62; Mosiah 4:14; Mosiah 1:3; Mosiah 5:8; D&C 98:8; Mosiah 4:21–26; Mosiah 18:27; Alma 1:27; D&C 23:3; Moses 1:39; D&C 132:19
1007,Alma 48:10; Ether 2:12; D&C 112:24; D&C 64:23; Moses 4:1–4; Job 14:14; Job 19:25–27
1008,Alma 17:1–3
1009,Jacob 2:7; Jacob 2:35; Alma 34:15; Luke 21:25; D&C 88:91; D&C 45:26; Alma 30:18; Mosiah 16:3; Mosiah 3:19; Moses 5:13; Mosiah 3:19; Mark 4:19; Alma 30:17; Mosiah 5:2; Alma 5:13–14; D&C 87:8; Luke 16:15; Moses 5:33; Alma 38:12; Alma 28:13; Ether 10:11; Ether 10:12; D&C 19:16; D&C 133:50; Luke 22:43; D&C 84:88; D&C 109:22; D&C 84:38
1010,Luke 23:34; D&C 12:8; John 13:35
1011,Mosiah 3:19; Luke 23:34; John 13:35
1012,D&C 101:43; D&C 101:48; D&C 101:49; D&C 101:50; D&C 58:29
1013,Ether 12:6; Alma 26:22; D&C 3:1; D&C 82:10; Ether 12:6; D&C 6:23; D&C 8:2; D&C 9:9; D&C 9:8; Alma 5:45–46; D&C 43:16; Ether 12:6; Alma 26:22; D&C 3:1; D&C 82:10; Ether 12:6; D&C 6:23; D&C 8:2; D&C 9:9; D&C 9:8; Alma 5:45–46; D&C 43:16
1014,Mosiah 5:15; Mosiah 5:15
1015,H 1:13–14
1016,Mosiah 5:15; Moses 4:26; Alma 13:2–4; Moses 5:11; Job 38:7; Mosiah 5:15; Moses 4:26; Alma 13:2–4; Moses 5:11; Job 38:7
1017,D&C 88:118; John 5:39; D&C 19:23; Ruth 1:16; Acts 9:36–42; D&C 88:118; John 5:39; D&C 19:23; Ruth 1:16; Acts 9:36–42
1018,Moses 3:24; Moses 5:16; D&C 58:26
1019,Mosiah 3:19; John 3:30; Moses 1:10; Micah 6:8; Mosiah 27:31; D&C 88:104; Mosiah 3:19; John 3:30; Moses 1:10; Micah 6:8; Mosiah 27:31; D&C 88:104
1020,John 20:31; John 3:16; Mosiah 3:19; F 1:3
1021,Acts 1:8; Mosiah 18:9; Alma 17:11; Alma 6:6; D&C 123:12; Amos 8:11; D&C 18:10; Moses 1:39; Acts 1:8; Mosiah 18:9; Alma 17:11; Alma 6:6; D&C 123:12; Amos 8:11; D&C 18:10; Moses 1:39
1022,Luke 10:30–37; John 5:8; John 8:11; John 4:14; Mark 5:41; John 11:43; John 1:39; John 19:26–27; Luke 10:30–37; John 5:8; John 8:11; John 4:14; Mark 5:41; John 11:43; John 1:39; John 19:26–27
1023,D&C 42:11; Alma 36:12; Mosiah 27:29; Alma 36:12; Alma 14:6; Alma 15:3; Alma 36:12; Alma 39:7; Mosiah 2:39; Mosiah 3:25; Mosiah 5:5; Alma 41:11; Acts 8:23; Mosiah 27:29; Alma 36:18; Mosiah 3:25; Jacob 3:11; Jacob 6:10; Mosiah 3:27; Alma 12:17; Alma 14:14; D&C 63:17; D&C 76:36; F 1:3; Alma 42:8; Alma 41:10; Alma 41:11; Mosiah 27:29; Alma 36:13; D&C 19:16; D&C 58:42; Mosiah 4:12; Mosiah 3:13; Mosiah 4:11; Mosiah 15:11; Alma 4:14; Alma 7:6; Alma 12:34; Alma 13:16; D&C 27:2; Alma 42:16–22; H 1:17; D&C 115:4; D&C 1:30; John 14:27; D&C 42:11; Alma 36:12; Mosiah 27:29; Alma 36:12; Alma 14:6; Alma 15:3; Alma 36:12; Alma 39:7; Mosiah 2:39; Mosiah 3:25; Mosiah 5:5; Alma 41:11; Acts 8:23; Mosiah 27:29; Alma 36:18; Mosiah 3:25; Jacob 3:11; Jacob 6:10; Mosiah 3:27; Alma 12:17; Alma 14:14; D&C 63:17; D&C 76:36; Alma 42:8; Alma 41:10; Alma 41:11; Mosiah 27:29; Alma 36:13; D&C 19:16; D&C 58:42; Mosiah 4:12; Mosiah 3:13; Mosiah 4:11; Mosiah 15:11; Alma 4:14; Alma 7:6; Alma 12:34; Alma 13:16; D&C 27:2; Alma 42:16–22; H 1:17; D&C 115:4; D&C 1:30; John 14:27
1024,D&C 93:40; D&C 93:51; D&C 38:30; D&C 103:19; D&C 118:3; D&C 31:2; Mosiah 2:17
1025,Alma 36:3; Alma 37:35; Alma 37:36–37; Enos 1:4–5; Moses 6:41
1026,John 6:35; John 6:50–51; Moses 7:61–62; Mosiah 3:7–8; Moses 6:63
1027,D&C 20:69; D&C 110:6; D&C 14:7; D&C 109:20; Alma 11:37; D&C 121:17; Alma 7:6; D&C 100:16; Acts 10:34; Alma 46:13; D&C 27:15; D&C 88:119; D&C 109:8; John 14:6; D&C 124:40; Alma 42:8; D&C 128:15; D&C 137:9; D&C 20:69; D&C 110:6; D&C 14:7; D&C 109:20; Alma 11:37; D&C 121:17; Alma 7:6; D&C 100:16; Acts 10:34; Alma 46:13; D&C 27:15; D&C 88:119; D&C 109:8; John 14:6; D&C 124:40; Alma 42:8; D&C 128:15; D&C 137:9
1028,D&C 68:31; D&C 130:18; F 1:13
1029,D&C 84:109; John 10:11–12; John 21:17; D&C 31:11
1030,D&C 1:33; Moses 8:17; D&C 132:39; Alma 53:4; Alma 48:17; Alma 53:4–5; D&C 121:45; Mosiah 27:10–11; Alma 1:15; Luke 15:21; D&C 18:11; Mosiah 26:29; D&C 64:7; John 8:32; Mosiah 2:41; Mosiah 4:3; F 1:13; John 13:35; D&C 101:22; D&C 1:33; Moses 8:17; D&C 132:39; Alma 53:4; Alma 48:17; Alma 53:4–5; D&C 121:45; Mosiah 27:10–11; Alma 1:15; Luke 15:21; D&C 18:11; Mosiah 26:29; D&C 64:7; John 8:32; Mosiah 2:41; Mosiah 4:3; F 1:13; John 13:35; D&C 101:22
1031,D&C 121:41; D&C 121:37; D&C 121:41; D&C 121:37
1032,John 21:1–15; Mark 12:30; D&C 107:4; D&C 132:7; D&C 97:8; John 21:1–15; Mark 12:30; D&C 107:4; D&C 132:7; D&C 97:8
1033,D&C 107:99; James 1:22; John 11:43; John 9:25; D&C 107:99; James 1:22; John 11:43; John 9:25
1034,John 12:8; D&C 81:5
1035,Acts 8:37–39; D&C 20:72; D&C 128:12; D&C 20:73; John 3:2–3; John 3:4–6; Alma 5:14; Alma 5:14; Mosiah 27:26; D&C 20:37; D&C 19:31; Acts 19:2–6; D&C 93:2; D&C 138:47; H 1:39; Mosiah 4:3; Acts 8:37–39; D&C 20:72; D&C 128:12; D&C 20:73; John 3:2–3; John 3:4–6; Alma 5:14; Alma 5:14; Mosiah 27:26; D&C 20:37; D&C 19:31; Acts 19:2–6; D&C 93:2; D&C 138:47; H 1:39; Mosiah 4:3
1036,D&C 88:91; D&C 45:26; D&C 105:31; Alma 41:11; D&C 136:31; D&C 1:35; D&C 9:14; D&C 6:13; D&C 122:9; Alma 42:8; D&C 136:31; Mosiah 23:21; Jacob 4:6; Ether 12:6; Alma 29:4; Mosiah 5:13; Alma 5:15; Alma 27:28; D&C 6:13; D&C 14:7; D&C 19:18; Alma 34:12; D&C 19:19; John 5:19; Mosiah 15:7; Mosiah 14:12; D&C 38:4; D&C 88:106; D&C 76:107; D&C 133:50; D&C 88:6; D&C 122:8; Alma 7:11–12; Alma 7:11–12; D&C 133:50; Moses 7:28; John 6:66; John 16:14; Alma 29:4; D&C 122:7; D&C 84:38
1037,D&C 1:4; D&C 1:17; D&C 84:49; D&C 1:36; D&C 59:9; D&C 59:10; D&C 1:19; D&C 1:4; D&C 1:17; D&C 84:49; D&C 1:36; D&C 59:9; D&C 59:10; D&C 1:19
1038,Gen. 22:1-19; D&C 19:26; Mosiah 4:26
1039,D&C 21:4; D&C 21:6; D&C 1:14; D&C 1:38
1040,James 1:5; H 1:17–20; D&C 27:17
1041,John 1:36; John 1:38; John 1:39; John 1:41
1042,D&C 42:29; Alma 45:1; Alma 17:2–3; Mosiah 4:26; Alma 34:28; D&C 81:5; D&C 42:29; Alma 45:1; Alma 17:2–3; Mosiah 4:26; Alma 34:28; D&C 81:5
1043,John 13:35; D&C 20:11; Alma 7:7; John 16:33; D&C 5:10; John 13:35; D&C 20:11; Alma 7:7; John 16:33; D&C 5:10
1044,D&C 6:12; D&C 97:15; Alma 5:19; D&C 76:92; D&C 88:121; D&C 25:10; D&C 30:2; D&C 88:67; D&C 50:24
1045,D&C 65:2; D&C 82:14; D&C 107:99; D&C 64:33; Luke 17:21
1046,D&C 60:13; D&C 88:124; Moses 1:39; Luke 12:15; Alma 39:14; Alma 39:14; D&C 89:19; Mosiah 4:27
1047,D&C 20:77
1048,D&C 68:8
1049,John 14:16; John 14:27
1050,D&C 58:42; D&C 121:45; D&C 121:45
1051,D&C 121:7; Luke 22:43; John 19:30; John 17:11; John 18:36; Mosiah 18:9; D&C 68:25; Mosiah 5:2; Mosiah 18:8–9; D&C 4:2
1052,John 3:3–5; Alma 42:15; John 5:25; D&C 138:30; D&C 124:29; Moses 7:32; Alma 5:33–36; Alma 42:27; D&C 138:58; Alma 40:23; John 11:25; Acts 10:34–35; John 14:6; Acts 4:12; Mosiah 5:8; John 3:5; Acts 2:38; Mark 1:9–11; Luke 3:21–22; John 1:29–34; D&C 20:26; D&C 2:1; D&C 128:18; D&C 2:3; H 1:39; D&C 132:46; D&C 110:16; Alma 40:12–13; D&C 38:5; D&C 138:22; D&C 138:18; D&C 128:22; John 3:3–5; Alma 42:15; John 5:25; D&C 138:30; D&C 124:29; Moses 7:32; Alma 5:33–36; Alma 42:27; D&C 138:58; Alma 40:23; John 11:25; Acts 10:34–35; John 14:6; Acts 4:12; Mosiah 5:8; John 3:5; Acts 2:38; Mark 1:9–11; Luke 3:21–22; John 1:29–34; D&C 20:26; D&C 2:1; D&C 128:18; D&C 2:3; H 1:39; D&C 132:46; D&C 110:16; Alma 40:12–13; D&C 38:5; D&C 138:22; D&C 138:18; D&C 128:22
1053,John 1:38–39; Alma 22:18; Acts 17:26; Mosiah 2:17
1054,D&C 109:31; D&C 76:22
1055,D&C 138:56; Alma 5:14; D&C 93:36; Jacob 2:7; Alma 56:47
1056,D&C 14:7; D&C 130:21; D&C 1:38; D&C 132:22; D&C 1:16; D&C 6:36; Jacob 6:11; D&C 132:22; D&C 42:24; D&C 59:6; Alma 37:37; D&C 8:2; Jacob 1:7; Omni 1:26; D&C 121:45; D&C 121:46; Mosiah 13:19; D&C 77:12; D&C 88:36; than 7:00; was 6:00; D&C 14:7; D&C 130:21; D&C 1:38; D&C 132:22; D&C 1:16; D&C 6:36; Jacob 6:11; D&C 132:22; D&C 42:24; D&C 59:6; Alma 37:37; D&C 8:2; Jacob 1:7; Omni 1:26; D&C 121:45; D&C 121:46; Mosiah 13:19; D&C 77:12; D&C 88:36
1057,John 7:17; Ether 12:6; Mosiah 18:9; D&C 52:36; Alma 5:46; D&C 100:8; D&C 62:3; John 7:17; Ether 12:6; Mosiah 18:9; D&C 52:36; Alma 5:46; D&C 100:8; D&C 62:3
1058,D&C 6:9; Moses 5:8; D&C 19:13; Enos 1:10; D&C 1:31; D&C 53:7; Alma 38:8–9; Alma 26:22; Alma 32:13; D&C 61:2; D&C 58:42; Alma 48:17–18; Alma 26:20; D&C 6:9; Moses 5:8; D&C 19:13; Enos 1:10; D&C 1:31; D&C 53:7; Alma 38:8–9; Alma 26:22; Alma 32:13; D&C 61:2; D&C 58:42; Alma 48:17–18; Alma 26:20
1059,Isaiah 24:15; 1 Nephi 19:16; 2 Nephi 10:21; Mosiah 3:19; D&C 74:4
1060,D&C 88:35; Alma 12:14; Luke 22:32; Mosiah 27:25; Alma 5:49; John 3:7; Mosiah 27:25–26; Alma 34:32; D&C 121:7; Ether 12:34; Mosiah 5:2
1061,Alma 42:8; Jacob 4:13–14; D&C 121:20; D&C 81:5; Luke 15:13; Mosiah 3:19; Luke 15:13; Alma 32:13–14; Mosiah 5:13; D&C 20:22; D&C 121:35; Mosiah 5:13; Alma 41:11; Luke 15:22–23; Mosiah 27:31; D&C 88:104; Mosiah 27:31; Jacob 4:13; D&C 93:24
1062,D&C 38:42; D&C 133:5; Ezra 1:5–11; Enos 1:2–10; D&C 31:10; D&C 38:42; D&C 133:5; Ezra 1:5–11; Enos 1:2–10; D&C 31:10
1063,Acts 2:23–24; Acts 2:32; Acts 2:42; Mosiah 3:17; Acts 8:30–31; Mosiah 23:14; Mosiah 8:17; Moses 6:36; Moses 6:35; Jacob 4:3; Acts 2:23–24; Acts 2:32; Acts 2:42; Mosiah 3:17; Acts 8:30–31; Mosiah 23:14; Mosiah 8:17; Moses 6:36; Moses 6:35; Jacob 4:3
1064,Jacob 3:3; Alma 39:5; Alma 41:10; Alma 41:10
1065,Moses 4:1–4; D&C 29:36; Luke 10:18; Moses 1:12; Alma 5:40; D&C 132:7; James 1:8; Alma 39:11; D&C 1:3; D&C 84:35; Moses 4:1–4; D&C 29:36; Luke 10:18; Moses 1:12; Alma 5:40; D&C 132:7; James 1:8; Alma 39:11; D&C 1:3; D&C 84:35
1066,D&C 107:99; James 1:5; D&C 107:99; James 1:5
1067,until 7:30; D&C 93:47
1068,Alma 30:44; D&C 93:2; D&C 93:1; Alma 30:44; D&C 93:2; D&C 93:1
1069,Jude 1:8; Mosiah 27:13; Mosiah 27:23–24; Mosiah 27:32; Luke 18:22; Mosiah 18:9
1070,D&C 93:40; Mosiah 16:9; D&C 88:67; D&C 50:24; Alma 18:42; Alma 19:6; John 8:12
1071,Jacob 3:1; D&C 88:118; Jacob 3:1; D&C 88:118
1072,Acts 17:26–28; John 14:6; F 1:13; F 1:11
1073,D&C 89:3; D&C 89:18; D&C 89:19; D&C 42:22; D&C 9:13; D&C 11:13; D&C 42:61; D&C 101:36; John 8:34; D&C 132:5; D&C 124:41; Alma 22:13; Jacob 1:18–19; D&C 95:1; D&C 101:78; James 4:6–8; Mosiah 3:19; D&C 62:1; James 1:13–15; Alma 7:10–13; Alma 15:8; D&C 42:25; Acts 5:31; Mosiah 4:2; Mosiah 26:29; D&C 1:31; D&C 58:42; D&C 61:2; D&C 58:42; Alma 36:19
1074,D&C 123:12; Alma 5:12; Alma 32:27; Moses 1:39; D&C 18:15
1075,Mosiah 4:11; Mosiah 4:11; D&C 1:28; Alma 34:21; D&C 4:2; D&C 27:15; Mosiah 4:11; Mosiah 4:2; Mosiah 4:3
1076,D&C 43:8; D&C 43:9; D&C 43:9; D&C 38:42; D&C 59:9; D&C 59:10; D&C 59:14; D&C 59:12; D&C 59:12; D&C 59:12; D&C 59:14; D&C 59:15; Mark 2:27; D&C 71:11; D&C 59:8; D&C 43:8; D&C 43:9; D&C 43:9; D&C 38:42; D&C 59:9; D&C 59:10; D&C 59:14; D&C 59:12; D&C 59:12; D&C 59:12; D&C 59:14; D&C 59:15; Mark 2:27; D&C 71:11; D&C 59:8
1077,Mark 16:15
1078,Mosiah 5:13; Alma 42:15; Alma 42:30; Enos 1:4–5
1079,John 3:8
1080,Alma 26:3; Alma 26:9; D&C 18:10; Acts 10:38; Mosiah 28:3; Alma 17:2; Alma 18:16; D&C 130:21; F 1:13; Alma 18:9–10; Alma 20:26–27; D&C 124:18
1081,D&C 64:33; Alma 7:10; Luke 1:38
1082,Mosiah 18:9; D&C 4:2; D&C 42:45; D&C 33:3; Mosiah 3:20; Alma 36:24; D&C 42:6; D&C 123:17
1083,from 3:00; until 7:30; D&C 93:36; F 1:13
1084,Acts 4:13; John 14:26; Luke 24:49; Acts 2:2–4; Acts 2:7–11; Acts 2:38; Acts 19:2; Acts 19:5; Acts 19:6; Moses 6:65–66; F 1:4; F 1:5; H 1:17; D&C 13:1; D&C 27:12; D&C 35:5; D&C 39:23; Acts 2:38; Acts 2:39; John 14:16–17; F 1:3; John 14:27; Acts 4:13; John 14:26; Luke 24:49; Acts 2:2–4; Acts 2:7–11; Acts 2:38; Acts 19:2; Acts 19:5; Acts 19:6; Moses 6:65–66; F 1:4; F 1:5; H 1:17; D&C 13:1; D&C 27:12; D&C 35:5; D&C 39:23; Acts 2:38; Acts 2:39; John 14:16–17; F 1:3; John 14:27
1085,D&C 18:10
1086,Job 38:7; John 16:33; D&C 59:15
1087,Alma 41:13; Job 14:14; Luke 24:36–39; John 20:26–29; John 20:11; Mosiah 16:7; Mosiah 15:8; Mosiah 16:7–8; Alma 22:14; D&C 29:26; D&C 76:39; John 14:19; Alma 11:42–44; Alma 40:23; D&C 29:43; D&C 93:33; Alma 12:25; Alma 41:13; Alma 41:2–4; Alma 34:34; D&C 130:18; D&C 88:27; Alma 5:21; D&C 58:42; Alma 11:43; Alma 5:18; Mosiah 26:25; Alma 11:43–44; Alma 42:23; Alma 34:32; Alma 27:28
1088,F 1:1; Alma 32:27–29; F 1:1; Alma 32:27–29
1089,Mosiah 1:2; Mosiah 1:3; Mosiah 1:10–11; Mosiah 2:5; Mosiah 2:6–8; Mosiah 2:41; Mosiah 6:3; at 10:00; D&C 21:1
1090,D&C 121:33; D&C 10:43
1091,D&C 107:25; Alma 12:32; Alma 42:8; Alma 34:9; Luke 15:12–13; Alma 18:5; Alma 18:5; Alma 18:39; Luke 15:17–18
1092,Acts 17:28–29; D&C 138:56; Alma 12:24; at 8:00; before 10:00; at 10:00; H 1:5–16; H 1:17; D&C 28:2; D&C 112:19; Acts 17:28–29; D&C 138:56; Alma 12:24; H 1:5–16; H 1:17; D&C 28:2; D&C 112:19
1093,Acts 3:19–21
1094,D&C 1:30; John 21:15–17
1095,D&C 8:2; D&C 132:49; D&C 135:3; D&C 76:22; Alma 12:10; Alma 5:46; Mosiah 4:10; Alma 26:22; D&C 31:9; Mosiah 3:8
1096,Ether 12:27; Ether 12:27
1097,Mark 16:20; D&C 64:29; D&C 84:88; John 4:13–14; Ether 12:27; Mark 16:20; D&C 64:29; D&C 84:88; John 4:13–14; Ether 12:27
1098,D&C 20:53
1099,D&C 132:8; D&C 88:119; D&C 18:10; Luke 2:52; Acts 10:38; Acts 8:31; D&C 136:24; D&C 132:8; D&C 88:119; D&C 18:10; Luke 2:52; Acts 10:38; Acts 8:31; D&C 136:24
1100,Mark 4:38; Mark 4:38; Alma 7:11; John 14:27; Mosiah 18:8–9; Moses 5:34; D&C 115:6; Mark 4:39; D&C 90:24; D&C 121:1; D&C 121:7; Mark 4:38; Mark 4:38; Alma 7:11; John 14:27; Mosiah 18:8–9; Moses 5:34; D&C 115:6; Mark 4:39; D&C 90:24; D&C 121:1; D&C 121:7
1101,Acts 6:1–3; D&C 136:8; D&C 83:2; D&C 83:6; James 1:27; Luke 2:36–38; Luke 7:11–15; Mark 12:41–44; Luke 21:1–4; Acts 6:1–3; D&C 136:8; D&C 83:2; D&C 83:6; James 1:27; Luke 2:36–38; Luke 7:11–15; Mark 12:41–44; Luke 21:1–4
1102,Moses 1:33; Moses 1:33
1103,Moses 1:39; Mosiah 5:13; John 14:26; D&C 90:24; F 1:1; D&C 50:29; D&C 3:20; Luke 11:1–2; D&C 84:88; Luke 11:2; Luke 11:4; Alma 32:28
1104,D&C 121:16; John 1:1–3; John 1:3; John 1:14; Luke 4:8; John 15:13; John 20:28; D&C 76:22; John 14:6
1105,Alma 29:3; Alma 29:1; Alma 29:2; Alma 29:4; Alma 29:9; Alma 29:3–4; Alma 29:6; Luke 2:19; Alma 48:19; Luke 15:17; D&C 121:39; D&C 45:1; D&C 76:24; Moses 1:33; Moses 2:1; Alma 5:15–19; Alma 12:3–14; Alma 42:23–26; D&C 1:19; D&C 35:13; D&C 133:58; Alma 36:26; Moses 3:17; D&C 64:2; Alma 29:8; D&C 58:27; D&C 58:28; Mosiah 4:6
1106,John 4:38; John 4:38
1107,D&C 28:16; D&C 30:5; D&C 29:7; John 10:14; Alma 31:34–35; Luke 11:33; D&C 18:18; D&C 31:7; Mosiah 3:3; Alma 34:10; D&C 19:15; Alma 5:38; D&C 88:62; D&C 28:16; D&C 30:5; D&C 29:7; John 10:14; Alma 31:34–35; Luke 11:33; D&C 18:18; D&C 31:7; Mosiah 3:3; Alma 34:10; D&C 19:15; Alma 5:38; D&C 88:62
1108,Enos 1:1; Enos 1:1
1109,Amos 8:11; Acts 20:29; Acts 3:21
